date,screen,user_id,click_target
2017-12-20,feed,3,ad
2017-12-19,catalog,3,ad
2017-12-21,feed,3,profile
2017-12-10,catalog,7,ad
2017-12-12,feed,3,ad
2017-12-17,feed,3,item
2017-12-13,feed,7,item
2017-12-10,feed,7,profile
2017-12-20,feed,7,profile
2017-12-17,catalog,7,ad
2017-12-12,feed,7,ad
2017-12-13,blog,7,ad
2017-12-19,catalog,3,ad
2017-12-14,feed,7,item
2017-12-20,feed,7,ad
2017-12-20,feed,7,profile
2017-12-16,catalog,3,ad
2017-12-17,feed,3,item
2017-12-21,feed,7,ad
2017-12-11,feed,3,ad
2017-12-15,catalog,3,item
2017-12-20,catalog,7,profile
2017-12-16,catalog,7,item
2017-12-19,catalog,7,ad
2017-12-16,blog,7,ad
2017-12-20,catalog,3,profile
2017-12-16,catalog,3,ad
2017-12-14,catalog,7,item
2017-12-16,feed,7,item
2017-12-14,catalog,7,profile
2017-12-19,catalog,7,ad
2017-12-14,feed,7,item
2017-12-20,feed,7,ad
2017-12-10,feed,7,ad
2017-12-20,feed,7,profile
2017-12-17,catalog,7,item
2017-12-12,feed,3,ad
